model,uniprot,target_seen,tier,hit,tot,ef_tier
drugclip,P06239,1,近 0.5–0.7,0,82,0.0000
drugclip,P06239,1,远 0.35–0.5,2,90,2.2222
drugclip,P06239,1,极近 ≥0.7,0,7,0.0000
drugclip,P06241,1,全新 <0.35,0,25,0.0000
drugclip,P06241,1,远 0.35–0.5,0,28,0.0000
drugclip,P06276,1,全新 <0.35,2,34,5.8824
drugclip,P06276,1,远 0.35–0.5,12,65,18.4615
drugclip,P06276,1,近 0.5–0.7,23,40,57.5000
drugclip,P07333,1,近 0.5–0.7,10,17,58.8235
drugclip,P07333,1,远 0.35–0.5,69,228,30.2632
drugclip,P07333,1,全新 <0.35,59,527,11.1954
drugclip,P07711,1,远 0.35–0.5,4,72,5.5556
drugclip,P07711,1,近 0.5–0.7,0,20,0.0000
drugclip,P07711,1,全新 <0.35,1,21,4.7619
drugclip,P07949,1,近 0.5–0.7,0,9,0.0000
drugclip,P07949,1,全新 <0.35,2,238,0.8403
drugclip,P07949,1,远 0.35–0.5,0,16,0.0000
drugclip,P08069,1,远 0.35–0.5,1,268,0.3731
drugclip,P08069,1,全新 <0.35,0,29,0.0000
drugclip,P08069,1,近 0.5–0.7,0,56,0.0000
drugclip,P08069,1,极近 ≥0.7,0,6,0.0000
drugclip,P08173,0,全新 <0.35,0,72,0.0000
drugclip,P08173,0,远 0.35–0.5,1,6,16.6667
drugclip,P08581,1,远 0.35–0.5,253,631,40.0951
drugclip,P08581,1,近 0.5–0.7,46,83,55.4217
drugclip,P08581,1,全新 <0.35,33,117,28.2051
drugclip,P08908,0,全新 <0.35,29,203,14.2857
drugclip,P08908,0,远 0.35–0.5,2,4,50.0000
drugclip,P08922,1,全新 <0.35,6,33,18.1818
drugclip,P08922,1,远 0.35–0.5,6,12,50.0000
drugclip,P08922,1,近 0.5–0.7,4,6,66.6667
drugclip,P0DMS8,0,全新 <0.35,8,42,19.0476
drugclip,P0DMS8,0,远 0.35–0.5,2,8,25.0000
drugclip,P10398,0,全新 <0.35,0,8,0.0000
drugclip,P10398,0,远 0.35–0.5,0,91,0.0000
drugclip,P10398,0,近 0.5–0.7,0,4,0.0000
drugclip,P11309,1,全新 <0.35,2,30,6.6667
drugclip,P11309,1,远 0.35–0.5,2,19,10.5263
drugclip,P11309,1,近 0.5–0.7,10,15,66.6667
drugclip,P11362,1,全新 <0.35,29,458,6.3319
drugclip,P11362,1,远 0.35–0.5,5,39,12.8205
drugclip,P11362,1,近 0.5–0.7,1,4,25.0000
