layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L2,Q16769,67,3350,51.0000,19.6842,0.9874,0.9971,0.9766
L2,Q32ZE1,150,7500,51.0000,19.9739,0.9997,1.0000,1.0000
L2,Q5S007,760,38000,51.0000,19.8947,0.9912,0.9979,0.9930
L2,Q6V1X1,69,3450,51.0000,19.9943,0.9999,1.0000,1.0000
L2,Q6ZQW0,54,2700,51.0000,19.9565,0.9954,0.9998,0.9934
L2,Q72547,64,3200,51.0000,19.2805,0.9868,0.9956,0.9742
L2,Q86TI2,56,2800,51.0000,19.6154,0.9923,0.9974,0.9840
L2,Q86W56,341,17050,51.0000,19.9897,0.9992,1.0000,0.9995
L2,Q86WV6,170,8500,51.0000,19.8594,0.9971,0.9974,0.9938
L2,Q8IVH8,332,16600,51.0000,19.6895,0.9927,0.9972,0.9865
L2,Q8N884,308,15400,51.0000,19.8550,0.9966,0.9994,0.9938
L2,Q8NEB9,57,2850,51.0000,19.9110,0.9999,1.0000,1.0000
L2,Q8R4B8,58,2900,51.0000,18.6081,0.9617,0.9818,0.9254
L2,Q92633,560,28000,51.0000,20.0000,0.9999,1.0000,1.0000
L2,Q92769,338,16900,51.0000,19.4652,0.9766,0.9969,0.9613
L2,Q92793,437,21850,51.0000,19.9883,0.9672,1.0000,0.9992
L2,Q92993,93,4650,51.0000,19.7143,0.9930,0.9989,0.9878
L2,Q93009,293,14650,51.0000,19.8409,0.9939,0.9948,0.9934
L2,Q96RI1,61,3050,51.0000,19.2885,0.9859,0.9949,0.9723
L2,Q99640,286,14300,50.6507,19.9808,0.9844,0.9996,0.9740
L2,Q99683,76,3800,51.0000,19.9794,0.9970,0.9999,0.9966
L2,Q99814,114,5700,51.0000,19.9794,0.9999,1.0000,1.0000
L2,Q9BY41,393,19650,50.7463,19.7797,0.9865,0.9943,0.9773
L2,Q9H3N8,55,2750,51.0000,19.5319,0.9872,0.9821,0.9751
L2,Q9H8M2,391,19550,51.0000,19.9810,1.0000,1.0000,1.0000
L2,Q9HAZ1,135,6750,50.2609,19.5130,0.9696,0.9876,0.9466
L2,Q9HBH9,104,5200,51.0000,18.9812,0.9745,0.9770,0.9477
L2,Q9NSY1,68,3400,51.0000,19.9310,0.9988,1.0000,0.9998
L2,Q9NWZ3,1458,72900,50.8629,19.9309,0.9955,0.9992,0.9938
L2,Q9NYV4,282,14100,50.6458,19.6208,0.9874,0.9934,0.9748
L2,Q9P2K8,86,4300,51.0000,19.9364,0.9999,1.0000,1.0000
L2,Q9UBN7,1401,70050,48.6462,19.7548,0.9544,0.9968,0.9282
L2,Q9UGN5,164,8200,49.7857,19.3532,0.9493,0.9830,0.9174
L2,Q9UNA0,80,4000,51.0000,20.0000,0.9867,1.0000,1.0000
L2,Q9Y251,53,2650,51.0000,19.8750,0.9966,1.0000,1.0000
L2,Q9Y5Y9,632,31600,51.0000,19.9950,0.9999,1.0000,0.9999
