uniprot,layer_original,layer_corrected,layer_strict,seen_A,seen_B,seen_B_blend_only,seen_C,seen_D,seen_any
P03952,L2,L2,L2,1,1,1,0,0,1
P07711,L2,L2,L2,1,1,1,0,0,1
P14756,L2,L2,L2,1,1,1,0,0,1
P20618,L2,L2,L2,0,1,1,0,0,1
P23946,L2,L2,L2,1,1,1,0,0,1
P27487,L2,L2,L2,1,1,1,1,0,1
P28074,L2,L2,L2,0,1,1,0,0,1
P34913,L2,L2,L2,1,1,1,0,0,1
P34914,L2,L2,L2,1,1,1,0,0,1
P39900,L2,L2,L2,1,1,1,1,0,1
P53634,L2,L2,L2,1,1,1,1,0,1
P56817,L2,L2,L2,1,1,1,1,0,1
Q04609,L2,L2,L2,1,1,1,1,0,1
Q12884,L2,L2,L2,0,1,1,0,0,1
Q6V1X1,L2,L2,L2,0,1,1,0,0,1
Q86TI2,L2,L2,L2,0,1,1,0,0,1
Q93009,L2,L2,L2,1,1,1,0,0,1
Q9UNA0,L2,L2,L2,1,1,1,0,0,1
Q9Y5Z0,L2,L2,L2,1,1,1,0,0,1
O14744,L2,L2,L2,1,1,1,0,0,1
O15379,L2,L2,L2,0,1,1,0,1,1
O60341,L2,L2,L2,1,1,1,0,0,1
O60885,L2,L2,L2,1,1,1,0,0,1
O96028,L2,L2,L2,0,1,1,0,1,1
P51531,L2,L2,L2,0,1,1,0,1,1
P51532,L2,L2,L2,0,1,1,0,1,1
P61964,L2,L2,L2,1,1,1,1,0,1
Q03111,L2,L2,L2,1,1,1,0,0,1
Q09472,L2,L2,L2,1,1,1,0,0,1
Q13547,L2,L2,L2,0,1,1,1,0,1
Q15910,L2,L2,L2,1,1,1,0,0,1
Q92769,L2,L2,L2,1,1,1,0,0,1
Q92793,L2,L2,L2,1,1,1,0,0,1
Q92993,L2,L2,L2,0,1,1,0,0,1
Q9BY41,L2,L2,L2,1,1,1,1,0,1
Q9H8M2,L2,L2,L2,1,1,1,0,0,1
Q9UBN7,L2,L2,L2,1,1,1,0,0,1
P31645,L2,L2,L2,1,1,1,1,0,1
P37288,L3,L3,L2*,0,0,0,1,1,1
P43220,L3,L3,L2*,1,1,0,1,0,1
Q96LB1,L3,L3,L3,0,0,0,0,0,0
P08519,L3,L3,L2*,1,1,0,0,0,1
P0DTC1,L3,L3,L3,0,0,0,0,0,0
P28347,L3,L3,L3,0,0,0,0,0,0
Q15562,L3,L3,L2*,1,1,0,0,0,1
Q99594,L3,L3,L3,0,0,0,0,0,0
C7FF05,L3,L3,L3,0,0,0,0,0,0
O14638,L3,L3,L3,0,0,0,0,0,0
P01111,L3,L3,L3,0,0,0,0,0,0
P30405,L3,L3,L2*,1,1,0,1,0,1
P56528,L3,L3,L3,0,0,0,0,0,0
Q9NP56,L3,L3,L3,0,0,0,0,0,0
O94921,L3,L3,L2*,0,0,0,1,0,1
P05622,L3,L3,L3,0,0,0,0,0,0
Q15878,L3,L3,L3,0,0,0,0,0,0
P97821,L3,L3,L3,0,0,0,0,0,0
Q92830,L3,L3,L2*,0,0,0,1,1,1
O88634,L4,L3,L3,0,0,0,0,0,0
P14416,L4,L4,L2*,0,0,0,1,1,1
P21917,L4,L4,L4,0,0,0,0,0,0
P25929,L4,L4,L4,0,0,0,0,0,0
P28223,L4,L3,L2*,0,0,0,0,1,1
P34969,L4,L4,L2*,0,0,0,1,0,1
P35462,L4,L4,L2*,0,0,0,1,1,1
P50052,L4,L4,L2*,1,1,0,0,0,1
J9SQF3,L4,L4,L4,0,0,0,0,0,0
P09246,L4,L4,L4,0,0,0,0,0,0
P17927,L4,L4,L4,0,0,0,0,0,0
P24864,L4,L4,L2*,1,0,0,0,0,1
P30990,L4,L4,L2*,1,0,0,0,0,1
P37840,L4,L4,L2*,0,0,0,0,1,1
Q16236,L4,L4,L2*,0,0,0,0,1,1
Q9HCE5,L4,L4,L2*,1,0,0,0,0,1
O00187,L4,L4,L4,0,0,0,0,0,0
O00411,L4,L4,L4,0,0,0,0,0,0
O00443,L4,L4,L2*,1,1,0,1,0,1
O14874,L4,L3,L3,0,0,0,0,0,0
O42275,L4,L3,L2*,0,0,0,1,0,1
O60427,L4,L4,L4,0,0,0,0,0,0
O75747,L4,L4,L4,0,0,0,0,0,0
P08546,L4,L4,L4,0,0,0,0,0,0
P0AES4,L4,L3,L3,0,0,0,0,0,0
P14060,L4,L4,L4,0,0,0,0,0,0
P16788,L4,L4,L4,0,0,0,0,0,0
P52429,L4,L4,L4,0,0,0,0,0,0
P54278,L4,L4,L4,0,0,0,0,0,0
Q08211,L4,L4,L2*,1,1,0,0,0,1
Q08828,L4,L3,L3,0,0,0,0,0,0
Q10469,L4,L4,L4,0,0,0,0,0,0
Q13191,L4,L3,L2*,1,0,0,0,0,1
Q13574,L4,L4,L2*,1,0,0,0,0,1
Q13724,L4,L4,L4,0,0,0,0,0,0
Q16739,L4,L4,L4,0,0,0,0,0,0
Q5JRX3,L4,L4,L4,0,0,0,0,0,0
Q6SZW1,L4,L4,L4,0,0,0,0,0,0
Q7Z3E1,L4,L4,L4,0,0,0,0,0,0
Q7Z5P4,L4,L4,L4,0,0,0,0,0,0
Q86SK9,L4,L4,L4,0,0,0,0,0,0
Q8WYB5,L4,L3,L3,0,0,0,0,0,0
Q92551,L4,L4,L4,0,0,0,0,0,0
Q92794,L4,L4,L2*,1,1,0,0,0,1
Q96GX5,L4,L4,L2*,1,1,0,0,0,1
Q96KP4,L4,L3,L3,0,0,0,0,0,0
Q9NPH5,L4,L4,L4,0,0,0,0,0,0
Q9NR19,L4,L4,L4,0,0,0,0,0,0
Q9UBM7,L4,L4,L4,0,0,0,0,0,0
Q9UHH9,L4,L4,L4,0,0,0,0,0,0
Q9UKP4,L4,L4,L4,0,0,0,0,0,0
Q9ULC5,L4,L4,L4,0,0,0,0,0,0
Q9ULV8,L4,L4,L4,0,0,0,0,0,0
Q9Y2I7,L4,L4,L4,0,0,0,0,0,0
O14578,L4,L4,L4,0,0,0,0,0,0
O75909,L4,L3,L2*,1,0,0,0,0,1
O95835,L4,L4,L2*,0,0,0,1,0,1
P17948,L4,L3,L2*,1,1,0,1,0,1
P19525,L4,L4,L4,0,0,0,0,0,0
P57059,L4,L4,L2*,0,0,0,1,0,1
Q13233,L4,L4,L4,0,0,0,0,0,0
Q13535,L4,L4,L4,0,0,0,0,0,0
Q15078,L4,L4,L2*,1,0,0,0,0,1
Q16832,L4,L3,L2*,1,1,0,1,0,1
Q86UE8,L4,L4,L4,0,0,0,0,0,0
Q9H0K1,L4,L4,L4,0,0,0,0,0,0
P22001,L4,L4,L4,0,0,0,0,0,0
Q8N1C3,L4,L3,L3,0,0,0,0,0,0
O94782,L4,L4,L2*,1,0,0,0,0,1
P09871,L4,L4,L4,0,0,0,0,0,0
Q03164,L4,L4,L2*,1,1,0,0,0,1
Q96DB2,L4,L4,L4,0,0,0,0,0,0
Q9BQA1,L4,L4,L2*,1,0,0,0,0,1
P11166,L4,L4,L4,0,0,0,0,0,0
P20648,L4,L3,L3,0,0,0,0,0,0
