benchmark,target,n_mol,n_active,ef1,ef1_ceiling,pct_of_ceiling,bedroc,auroc
DEKOIS 2.0,AURKA,1240,40,28.6154,31.0000,0.9231,0.8895,0.9672
DEKOIS 2.0,AURKB,1239,40,30.9750,30.9750,1.0000,0.8748,0.9912
DEKOIS 2.0,BCL2,1240,40,31.0000,31.0000,1.0000,0.9552,0.9309
DEKOIS 2.0,BRAF,1240,40,31.0000,31.0000,1.0000,0.9973,0.9999
DEKOIS 2.0,CATL,1240,40,31.0000,31.0000,1.0000,0.9851,0.9984
DEKOIS 2.0,CDK2,1240,40,16.6923,31.0000,0.5385,0.4382,0.7753
DEKOIS 2.0,COX1,1239,40,30.9750,30.9750,1.0000,0.9756,0.9819
DEKOIS 2.0,COX2,1239,40,30.9750,30.9750,1.0000,0.9780,0.9739
DEKOIS 2.0,CTSK,1240,40,31.0000,31.0000,1.0000,0.9940,0.9772
DEKOIS 2.0,CYP2A6,1239,40,19.0615,30.9750,0.6154,0.5760,0.9372
DEKOIS 2.0,DHFR,1239,40,28.5923,30.9750,0.9231,0.8774,0.9069
DEKOIS 2.0,EGFR,1237,40,28.5462,30.9250,0.9231,0.8500,0.9274
DEKOIS 2.0,EPHB4,1239,40,30.9750,30.9750,1.0000,0.9823,0.9713
DEKOIS 2.0,ERBB2,1239,40,30.9750,30.9750,1.0000,0.9996,1.0000
DEKOIS 2.0,ER-BETA,1240,40,28.6154,31.0000,0.9231,0.9075,0.9837
DEKOIS 2.0,FGFR1,1240,40,31.0000,31.0000,1.0000,0.9437,0.9711
DEKOIS 2.0,FKBP1A,1240,40,31.0000,31.0000,1.0000,0.9946,0.9991
DEKOIS 2.0,FXA,1240,40,28.6154,31.0000,0.9231,0.8635,0.9469
DEKOIS 2.0,GBA,1236,40,30.9000,30.9000,1.0000,0.9818,0.9768
DEKOIS 2.0,GR,1240,40,31.0000,31.0000,1.0000,0.9974,0.9999
DEKOIS 2.0,GSK3B,1239,40,19.0615,30.9750,0.6154,0.5651,0.8511
DEKOIS 2.0,HDAC2,1240,40,31.0000,31.0000,1.0000,0.9696,0.9730
DEKOIS 2.0,HDAC8,1240,40,31.0000,31.0000,1.0000,0.9698,0.9977
DEKOIS 2.0,HIV1PR,1240,40,31.0000,31.0000,1.0000,0.9449,0.9893
DEKOIS 2.0,HIV1RT,1237,40,26.1673,30.9250,0.8462,0.8434,0.9535
DEKOIS 2.0,HMGR,1240,40,31.0000,31.0000,1.0000,0.9881,0.9575
DEKOIS 2.0,HSP90,1240,40,31.0000,31.0000,1.0000,0.9659,0.9550
DEKOIS 2.0,IGF1R,1240,40,31.0000,31.0000,1.0000,0.9249,0.9788
DEKOIS 2.0,INHA,1240,40,31.0000,31.0000,1.0000,0.9598,0.9957
DEKOIS 2.0,ITK,1238,40,30.9500,30.9500,1.0000,0.9685,0.9363
DEKOIS 2.0,JAK3,1240,40,31.0000,31.0000,1.0000,0.9185,0.9551
DEKOIS 2.0,JNK1,1240,40,28.6154,31.0000,0.9231,0.8074,0.9135
DEKOIS 2.0,JNK2,1240,40,26.2308,31.0000,0.8462,0.7904,0.9007
DEKOIS 2.0,JNK3,1240,40,26.2308,31.0000,0.8462,0.7467,0.8981
DEKOIS 2.0,KIF11,1240,40,31.0000,31.0000,1.0000,0.9984,1.0000
DEKOIS 2.0,LCK,1239,40,26.2096,30.9750,0.8462,0.8030,0.9444
DEKOIS 2.0,MDM2,1240,40,31.0000,31.0000,1.0000,0.9942,0.9828
DEKOIS 2.0,MK2,1239,40,30.9750,30.9750,1.0000,0.9740,0.9828
DEKOIS 2.0,MMP2,1238,40,30.9500,30.9500,1.0000,0.9387,0.9738
DEKOIS 2.0,NA,1238,40,30.9500,30.9500,1.0000,0.9997,1.0000
DEKOIS 2.0,P38-ALPHA,1240,40,31.0000,31.0000,1.0000,0.9827,0.9970
