baseline,layer,uniprot,n_actives,spearman
learned_ridge,L1,P00915,169,0.1388
learned_ridge,L1,P01116,51,0.0626
learned_ridge,L1,P04798,63,0.1350
learned_ridge,L1,P06239,68,-0.1227
learned_ridge,L1,P07333,103,-0.0671
learned_ridge,L1,P08581,66,0.3004
learned_ridge,L1,P0DMS8,69,-0.0401
learned_ridge,L1,P0DTD1,420,0.0430
learned_ridge,L1,P11362,56,0.1393
learned_ridge,L1,P11802,71,-0.0956
learned_ridge,L1,P12931,91,-0.0076
learned_ridge,L1,P15056,58,-0.0246
learned_ridge,L1,P18031,116,0.2880
learned_ridge,L1,P21554,100,0.1824
learned_ridge,L1,P22413,189,0.0497
learned_ridge,L1,P22455,55,0.0677
learned_ridge,L1,P23458,197,0.6700
learned_ridge,L1,P27338,155,-0.0655
learned_ridge,L1,P28335,80,-0.1646
learned_ridge,L1,P29597,187,0.1633
learned_ridge,L1,P30530,50,0.2094
learned_ridge,L1,P31153,63,-0.4397
learned_ridge,L1,P34913,124,0.2508
learned_ridge,L1,P34914,99,0.3806
learned_ridge,L1,P34972,67,0.0392
learned_ridge,L1,P35968,136,0.3380
learned_ridge,L1,P36888,84,0.5660
learned_ridge,L1,P41145,193,-0.1240
learned_ridge,L1,P41182,63,-0.1319
learned_ridge,L1,P41595,91,0.2535
learned_ridge,L1,P47989,55,0.0344
learned_ridge,L1,P49327,665,0.0363
learned_ridge,L1,P50406,67,-0.0608
learned_ridge,L1,P50750,67,-0.1663
learned_ridge,L1,P52333,256,0.0908
learned_ridge,L1,P53634,58,-0.3266
learned_ridge,L1,P56817,260,0.4352
learned_ridge,L1,Q05397,90,0.2233
learned_ridge,L1,Q13188,50,0.0814
learned_ridge,L1,Q13547,361,0.2101
learned_ridge,L1,Q13627,111,0.2342
learned_ridge,L1,Q16678,107,-0.0827
learned_ridge,L1,Q92769,127,0.5465
learned_ridge,L1,Q92918,161,0.0742
learned_ridge,L1,Q9BY41,104,-0.0469
learned_ridge,L1,Q9NWZ3,91,0.4528
learned_ridge,L1,Q9NZQ7,85,0.4509
learned_ridge,L1,Q9UBN7,426,0.1421
learned_ridge,L1,Q9Y5Z0,227,-0.2197
learned_ridge,L2,O14684,125,-0.1566
learned_ridge,L2,O14744,814,0.0784
learned_ridge,L2,O14757,190,-0.5985
learned_ridge,L2,O15379,413,0.2974
learned_ridge,L2,O43570,239,0.2270
learned_ridge,L2,O43613,99,0.4353
learned_ridge,L2,O43614,145,0.4391
learned_ridge,L2,O60341,807,-0.1570
learned_ridge,L2,O60502,301,0.2863
learned_ridge,L2,O60885,576,0.0656
learned_ridge,L2,O75116,301,-0.2292
learned_ridge,L2,O75173,83,-0.3020
learned_ridge,L2,O75385,408,-0.1718
learned_ridge,L2,O95497,118,0.3144
learned_ridge,L2,O95819,66,0.5064
learned_ridge,L2,O96017,65,-0.3242
learned_ridge,L2,O96028,77,-0.2560
learned_ridge,L2,P00519,294,0.0633
learned_ridge,L2,P00533,2047,0.0872
learned_ridge,L2,P00734,72,0.3935
learned_ridge,L2,P00742,66,0.3223
learned_ridge,L2,P00751,146,0.2179
learned_ridge,L2,P01116,3262,0.0428
learned_ridge,L2,P03372,218,-0.3265
learned_ridge,L2,P03951,101,0.3597
learned_ridge,L2,P03952,130,-0.1889
learned_ridge,L2,P04049,656,0.3164
learned_ridge,L2,P04150,286,-0.1471
learned_ridge,L2,P04293,355,0.0216
learned_ridge,L2,P04626,1004,0.0202
learned_ridge,L2,P06239,715,-0.0255
learned_ridge,L2,P06241,54,0.2801
learned_ridge,L2,P06276,139,-0.0716
learned_ridge,L2,P07333,773,0.4956
learned_ridge,L2,P07711,113,-0.2549
learned_ridge,L2,P07949,263,0.0676
learned_ridge,L2,P08069,359,0.1724
learned_ridge,L2,P08173,78,0.3283
learned_ridge,L2,P08581,831,0.2214
learned_ridge,L2,P08908,207,0.1375
learned_ridge,L2,P08922,51,0.4443
learned_ridge,L2,P09619,429,0.6271
learned_ridge,L2,P0DMS8,50,-0.4848
learned_ridge,L2,P10275,145,-0.0409
learned_ridge,L2,P10398,103,0.1954
learned_ridge,L2,P10415,1007,0.1887
learned_ridge,L2,P11309,66,0.4088
learned_ridge,L2,P11362,501,0.3382
learned_ridge,L2,P11474,199,-0.2830
learned_ridge,L2,P11802,1402,0.1748
learned_ridge,L2,P14756,71,0.2649
learned_ridge,L2,P15428,361,0.1800
learned_ridge,L2,P18825,125,0.2067
learned_ridge,L2,P20618,73,-0.0455
learned_ridge,L2,P21554,53,-0.4602
learned_ridge,L2,P21802,484,0.3597
learned_ridge,L2,P22413,524,0.0475
learned_ridge,L2,P22455,116,0.1974
learned_ridge,L2,P22607,384,0.3494
learned_ridge,L2,P23458,622,0.4004
learned_ridge,L2,P23946,71,0.0957
learned_ridge,L2,P24941,1629,0.2067
learned_ridge,L2,P27338,124,0.0609
learned_ridge,L2,P27487,116,-0.0188
learned_ridge,L2,P28074,325,-0.1832
learned_ridge,L2,P28335,296,0.2106
learned_ridge,L2,P28482,665,-0.1835
learned_ridge,L2,P29274,777,0.0841
