model,layer,uniprot,n_molecules,order_used
hypseek_rk,L2,O43318,765,lmdb
hypseek_rk,L2,O43353,15132,lmdb
hypseek_rk,L2,O43497,7896,lmdb
hypseek_rk,L2,O43570,12175,lmdb
hypseek_rk,L2,O43613,5042,lmdb
hypseek_rk,L2,O43614,7392,lmdb
hypseek_rk,L2,O43924,713,lmdb
hypseek_rk,L2,O60341,41115,lmdb
hypseek_rk,L2,O60502,15337,lmdb
hypseek_rk,L2,O60674,38669,lmdb
hypseek_rk,L2,O60760,1581,lmdb
hypseek_rk,L2,O60885,29355,lmdb
hypseek_rk,L2,O75116,15337,lmdb
hypseek_rk,L2,O75173,4228,lmdb
hypseek_rk,L2,O75385,20778,lmdb
hypseek_rk,L2,O75417,96122,lmdb
hypseek_rk,L2,O75460,14163,lmdb
hypseek_rk,L2,O75762,12266,lmdb
hypseek_rk,L2,O75874,3059,lmdb
hypseek_rk,L2,O75936,1171,lmdb
hypseek_rk,L2,O76074,1427,lmdb
hypseek_rk,L2,O76083,8151,lmdb
hypseek_rk,L2,O95271,2804,lmdb
hypseek_rk,L2,O95497,6012,lmdb
hypseek_rk,L2,O95819,3364,lmdb
hypseek_rk,L2,O96013,1782,lmdb
hypseek_rk,L2,O96017,3312,lmdb
hypseek_rk,L2,O96028,3923,lmdb
hypseek_rk,L2,P00338,5148,lmdb
hypseek_rk,L2,P00519,14973,lmdb
hypseek_rk,L2,P00533,104283,lmdb
hypseek_rk,L2,P00734,3669,lmdb
hypseek_rk,L2,P00742,3362,lmdb
hypseek_rk,L2,P00746,18546,lmdb
hypseek_rk,L2,P00748,1578,lmdb
hypseek_rk,L2,P00751,7433,FAIL
hypseek_rk,L2,P00797,1884,lmdb
hypseek_rk,L2,P00915,11360,lmdb
hypseek_rk,L2,P00918,17323,lmdb
hypseek_rk,L2,P01116,145493,FAIL
hypseek_rk,L2,P01375,1071,lmdb
hypseek_rk,L2,P02753,1172,lmdb
hypseek_rk,L2,P03372,11108,lmdb
hypseek_rk,L2,P03951,5146,lmdb
hypseek_rk,L2,P03952,6621,lmdb
hypseek_rk,L2,P04049,33417,FAIL
hypseek_rk,L2,P04150,14570,lmdb
hypseek_rk,L2,P04293,18090,lmdb
hypseek_rk,L2,P04585,712,lmdb
hypseek_rk,L2,P04626,51136,lmdb
hypseek_rk,L2,P04629,30457,lmdb
hypseek_rk,L2,P04798,1734,lmdb
hypseek_rk,L2,P04818,1326,lmdb
hypseek_rk,L2,P05089,663,lmdb
hypseek_rk,L2,P05177,1833,lmdb
hypseek_rk,L2,P05981,714,lmdb
hypseek_rk,L2,P06239,36427,lmdb
hypseek_rk,L2,P06241,2753,lmdb
hypseek_rk,L2,P06276,7078,lmdb
hypseek_rk,L2,P06401,1018,lmdb
hypseek_rk,L2,P06493,9483,FAIL
hypseek_rk,L2,P06730,1171,lmdb
hypseek_rk,L2,P06935,4587,lmdb
hypseek_rk,L2,P07333,39376,lmdb
hypseek_rk,L2,P07711,5750,lmdb
hypseek_rk,L2,P07858,1477,lmdb
hypseek_rk,L2,P07900,1783,lmdb
hypseek_rk,L2,P07948,510,lmdb
hypseek_rk,L2,P07949,13407,lmdb
hypseek_rk,L2,P08069,18295,lmdb
hypseek_rk,L2,P08172,2446,lmdb
hypseek_rk,L2,P08173,3974,lmdb
hypseek_rk,L2,P08183,1326,lmdb
hypseek_rk,L2,P08238,2495,lmdb
hypseek_rk,L2,P08246,509,lmdb
hypseek_rk,L2,P08253,1274,lmdb
hypseek_rk,L2,P08254,816,lmdb
hypseek_rk,L2,P08581,42337,lmdb
hypseek_rk,L2,P08684,1376,lmdb
hypseek_rk,L2,P08908,10550,lmdb
hypseek_rk,L2,P08912,1325,lmdb
hypseek_rk,L2,P08922,2598,lmdb
hypseek_rk,L2,P09237,1070,lmdb
hypseek_rk,L2,P09238,866,lmdb
hypseek_rk,L2,P09382,25723,lmdb
hypseek_rk,L2,P09874,46976,lmdb
hypseek_rk,L2,P09917,712,lmdb
hypseek_rk,L2,P09960,764,lmdb
hypseek_rk,L2,P0A017,1019,lmdb
hypseek_rk,L2,P0A0K8,1326,lmdb
hypseek_rk,L2,P0A725,1120,lmdb
hypseek_rk,L2,P0AES6,1274,lmdb
hypseek_rk,L2,P0DMS8,2549,lmdb
hypseek_rk,L2,P0DTD1,97973,lmdb
hypseek_rk,L2,P0DUB6,1989,lmdb
hypseek_rk,L2,P10275,7384,FAIL
hypseek_rk,L2,P10398,5246,lmdb
hypseek_rk,L2,P10415,51307,FAIL
hypseek_rk,L2,P10721,57170,lmdb
hypseek_rk,L2,P11229,1221,lmdb
hypseek_rk,L2,P11309,3363,lmdb
hypseek_rk,L2,P11362,25524,lmdb
hypseek_rk,L2,P11474,10140,lmdb
hypseek_rk,L2,P11511,867,lmdb
hypseek_rk,L2,P11802,71420,lmdb
hypseek_rk,L2,P12931,3512,lmdb
hypseek_rk,L2,P13569,2446,lmdb
hypseek_rk,L2,P13866,560,lmdb
hypseek_rk,L2,P13995,560,lmdb
hypseek_rk,L2,P14207,1120,lmdb
hypseek_rk,L2,P14555,763,FAIL
hypseek_rk,L2,P14618,2038,lmdb
hypseek_rk,L2,P14756,3620,lmdb
hypseek_rk,L2,P14780,1629,lmdb
hypseek_rk,L2,P14867,6316,lmdb
hypseek_rk,L2,P14902,1782,lmdb
hypseek_rk,L2,P15056,39182,lmdb
hypseek_rk,L2,P15428,18398,lmdb
hypseek_rk,L2,P15559,4274,lmdb
hypseek_rk,L2,P16234,20178,lmdb
hypseek_rk,L2,P17252,1529,lmdb
hypseek_rk,L2,P17516,969,lmdb
hypseek_rk,L2,P17612,764,lmdb
hypseek_rk,L2,P17706,4585,lmdb
hypseek_rk,L2,P17812,13850,FAIL
hypseek_rk,L2,P17931,45798,lmdb
hypseek_rk,L2,P18031,13142,lmdb
hypseek_rk,L2,P18054,1784,lmdb
hypseek_rk,L2,P18825,6367,lmdb
hypseek_rk,L2,P19099,764,lmdb
hypseek_rk,L2,P20309,1270,lmdb
hypseek_rk,L2,P20618,3717,lmdb
hypseek_rk,L2,P20831,1577,lmdb
hypseek_rk,L2,P21397,1835,lmdb
hypseek_rk,L2,P21554,2699,lmdb
hypseek_rk,L2,P21589,8710,lmdb
hypseek_rk,L2,P21728,1019,lmdb
hypseek_rk,L2,P21802,24657,lmdb
hypseek_rk,L2,P22303,10246,FAIL
hypseek_rk,L2,P22413,26696,lmdb
hypseek_rk,L2,P22455,5910,lmdb
hypseek_rk,L2,P22607,19564,lmdb
hypseek_rk,L2,P22748,867,lmdb
hypseek_rk,L2,P22894,764,lmdb
hypseek_rk,L2,P23458,31688,lmdb
hypseek_rk,L2,P23467,3924,lmdb
hypseek_rk,L2,P23921,510,lmdb
hypseek_rk,L2,P23946,3616,lmdb
hypseek_rk,L2,P23975,917,lmdb
hypseek_rk,L2,P24941,82991,lmdb
hypseek_rk,L2,P25440,1629,lmdb
hypseek_rk,L2,P25774,1679,lmdb
hypseek_rk,L2,P27338,6319,lmdb
hypseek_rk,L2,P27487,5907,lmdb
hypseek_rk,L2,P28062,1223,lmdb
hypseek_rk,L2,P28065,1377,lmdb
hypseek_rk,L2,P28074,16559,lmdb
hypseek_rk,L2,P28335,15080,lmdb
hypseek_rk,L2,P28482,33886,lmdb
hypseek_rk,L2,P28845,765,lmdb
hypseek_rk,L2,P28907,8453,lmdb
hypseek_rk,L2,P29274,39590,lmdb
hypseek_rk,L2,P29275,18241,lmdb
hypseek_rk,L2,P29375,2394,lmdb
hypseek_rk,L2,P29466,1070,lmdb
hypseek_rk,L2,P29597,69898,FAIL
hypseek_rk,L2,P30291,6062,lmdb
hypseek_rk,L2,P30530,47280,lmdb
hypseek_rk,L2,P30542,5806,lmdb
hypseek_rk,L2,P30559,561,lmdb
hypseek_rk,L2,P31153,27616,lmdb
hypseek_rk,L2,P31391,5094,lmdb
hypseek_rk,L2,P31639,611,lmdb
hypseek_rk,L2,P31644,18297,lmdb
hypseek_rk,L2,P31645,5556,lmdb
hypseek_rk,L2,P31749,10852,lmdb
hypseek_rk,L2,P31751,6010,lmdb
hypseek_rk,L2,P32245,10596,lmdb
hypseek_rk,L2,P32297,612,lmdb
hypseek_rk,L2,P33981,2496,lmdb
hypseek_rk,L2,P34913,3152,FAIL
hypseek_rk,L2,P34914,10091,lmdb
hypseek_rk,L2,P34947,2241,lmdb
hypseek_rk,L2,P34972,3207,lmdb
hypseek_rk,L2,P35354,5044,lmdb
hypseek_rk,L2,P35367,1733,lmdb
hypseek_rk,L2,P35372,10037,FAIL
hypseek_rk,L2,P35408,2447,lmdb
hypseek_rk,L2,P35968,47227,lmdb
hypseek_rk,L2,P36544,1070,lmdb
hypseek_rk,L2,P36776,4486,lmdb
hypseek_rk,L2,P36888,25776,lmdb
hypseek_rk,L2,P36897,14113,lmdb
